bin1kb	chr	gene
chr6_124706000_124707000	chr6	Emg1_ENSMUST00000125795_124705658_down1kb
chr6_124711000_124712000	chr6	Phb2_ENSMUST00000004375_124712335_up1kb;Emg1_ENSMUST00000004379_124712177_up1kb;Phb2_ENSMUST00000124779_124712335_up1kb;Emg1_ENSMUST00000141251_124712140_up1kb;Emg1_ENSMUST00000142187_124712068_up1kb;Phb2_ENSMUST00000145447_124712335_up1kb;Phb2_ENSMUST00000147974_124712765_up1kb;Phb2_ENSMUST00000150847_124712335_up1kb
chr6_124712000_124713000	chr6	Phb2_ENSMUST00000004375_124712335_tss;Emg1_ENSMUST00000004379_124712177_tss;Phb2_ENSMUST00000124779_124712335_tss;Emg1_ENSMUST00000141251_124712140_tss;Emg1_ENSMUST00000142187_124712068_tss;Phb2_ENSMUST00000145447_124712335_tss;Phb2_ENSMUST00000147974_124712765_tss;Phb2_ENSMUST00000150847_124712335_tss;Phb2_ENSMUST00000130279_124713121_up1kb
chr6_124713000_124714000	chr6	Phb2_ENSMUST00000130279_124713121_tss;Phb2_ENSMUST00000004375_124712335_down1kb;Emg1_ENSMUST00000004379_124712177_down1kb;Phb2_ENSMUST00000124779_124712335_down1kb;Emg1_ENSMUST00000141251_124712140_down1kb;Emg1_ENSMUST00000142187_124712068_down1kb;Phb2_ENSMUST00000145447_124712335_down1kb;Phb2_ENSMUST00000147974_124712765_down1kb;Phb2_ENSMUST00000150847_124712335_down1kb
chr6_124714000_124715000	chr6	Phb2_ENSMUST00000129422_124715362_up1kb;Phb2_ENSMUST00000143000_124715347_up1kb;Gm23547_ENSMUST00000158210_124715231_up1kb;Phb2_ENSMUST00000130279_124713121_down1kb
chr6_124715000_124716000	chr6	Phb2_ENSMUST00000129422_124715362_tss;Phb2_ENSMUST00000143000_124715347_tss;Gm23547_ENSMUST00000158210_124715231_tss
chr6_124716000_124717000	chr6	Mir141_ENSMUST00000083540_124717984_up1kb;Phb2_ENSMUST00000129422_124715362_down1kb;Phb2_ENSMUST00000143000_124715347_down1kb;Gm23547_ENSMUST00000158210_124715231_down1kb
chr6_124717000_124718000	chr6	Mir141_ENSMUST00000083540_124717984_tss;Mir200c_ENSMUST00000083528_124718402_up1kb;Gm15884_ENSMUST00000143765_124718830_up1kb
chr6_124718000_124719000	chr6	Mir200c_ENSMUST00000083528_124718402_tss;Gm15884_ENSMUST00000143765_124718830_tss;Mir141_ENSMUST00000083540_124717984_down1kb
chr6_124719000_124720000	chr6	Mir200c_ENSMUST00000083528_124718402_down1kb;Gm15884_ENSMUST00000143765_124718830_down1kb
chr6_124720000_124721000	chr6	Ptpn6_ENSMUST00000173315_124721841_up1kb
chr6_124721000_124722000	chr6	Ptpn6_ENSMUST00000173315_124721841_tss
chr6_124722000_124723000	chr6	Ptpn6_ENSMUST00000173315_124721841_down1kb
chr6_124726000_124727000	chr6	Ptpn6_ENSMUST00000172690_124727460_up1kb;Ptpn6_ENSMUST00000174787_124727410_up1kb
chr6_124727000_124728000	chr6	Ptpn6_ENSMUST00000172690_124727460_tss;Ptpn6_ENSMUST00000174787_124727410_tss;Ptpn6_ENSMUST00000172613_124728707_up1kb
chr6_124728000_124729000	chr6	Ptpn6_ENSMUST00000172613_124728707_tss;Ptpn6_ENSMUST00000172690_124727460_down1kb;Ptpn6_ENSMUST00000174787_124727410_down1kb
chr6_124729000_124730000	chr6	Ptpn6_ENSMUST00000172613_124728707_down1kb
chr6_124731000_124732000	chr6	Ptpn6_ENSMUST00000173228_124732770_up1kb;Gm20531_ENSMUST00000174861_124732167_up1kb
chr6_124732000_124733000	chr6	Ptpn6_ENSMUST00000173228_124732770_tss;Gm20531_ENSMUST00000174861_124732167_tss;Ptpn6_ENSMUST00000112484_124733153_up1kb;Ptpn6_ENSMUST00000172770_124733109_up1kb;Ptpn6_ENSMUST00000173647_124733081_up1kb
chr6_124733000_124734000	chr6	Ptpn6_ENSMUST00000112484_124733153_tss;Ptpn6_ENSMUST00000172770_124733109_tss;Ptpn6_ENSMUST00000173647_124733081_tss;Ptpn6_ENSMUST00000173228_124732770_down1kb;Gm20531_ENSMUST00000174861_124732167_down1kb
chr6_124734000_124735000	chr6	Ptpn6_ENSMUST00000112484_124733153_down1kb;Ptpn6_ENSMUST00000172770_124733109_down1kb;Ptpn6_ENSMUST00000173647_124733081_down1kb
chr6_124737000_124738000	chr6	Ptpn6_ENSMUST00000004377_124738624_up1kb;Ptpn6_ENSMUST00000171549_124738713_up1kb;Ptpn6_ENSMUST00000174265_124738583_up1kb
chr6_124738000_124739000	chr6	Ptpn6_ENSMUST00000004377_124738624_tss;Ptpn6_ENSMUST00000171549_124738713_tss;Ptpn6_ENSMUST00000174265_124738583_tss
chr6_124739000_124740000	chr6	Grcc10_ENSMUST00000129823_124740694_up1kb;Grcc10_ENSMUST00000137318_124740714_up1kb;Ptpn6_ENSMUST00000004377_124738624_down1kb;Ptpn6_ENSMUST00000171549_124738713_down1kb;Ptpn6_ENSMUST00000174265_124738583_down1kb
chr6_124740000_124741000	chr6	Grcc10_ENSMUST00000129823_124740694_tss;Grcc10_ENSMUST00000137318_124740714_tss;Grcc10_ENSMUST00000004389_124741373_up1kb;Grcc10_ENSMUST00000140423_124741064_up1kb;Rnu7_ENSMUST00000158458_124741285_up1kb
chr6_124741000_124742000	chr6	Grcc10_ENSMUST00000004389_124741373_tss;Grcc10_ENSMUST00000140423_124741064_tss;Rnu7_ENSMUST00000158458_124741285_tss;Grcc10_ENSMUST00000129823_124740694_down1kb;Grcc10_ENSMUST00000137318_124740714_down1kb
chr6_124742000_124743000	chr6	Grcc10_ENSMUST00000004389_124741373_down1kb;Grcc10_ENSMUST00000140423_124741064_down1kb;Rnu7_ENSMUST00000158458_124741285_down1kb
chr6_124744000_124745000	chr6	Atn1_ENSMUST00000133577_124745624_up1kb
chr6_124745000_124746000	chr6	Atn1_ENSMUST00000133577_124745624_tss
chr6_124746000_124747000	chr6	Atn1_ENSMUST00000133577_124745624_down1kb
chr6_124755000_124756000	chr6	Atn1_ENSMUST00000088357_124756523_up1kb;Atn1_ENSMUST00000129411_124756020_up1kb;Atn1_ENSMUST00000146872_124756053_up1kb
chr6_124756000_124757000	chr6	Atn1_ENSMUST00000088357_124756523_tss;Atn1_ENSMUST00000129411_124756020_tss;Atn1_ENSMUST00000146872_124756053_tss
chr6_124757000_124758000	chr6	Atn1_ENSMUST00000088357_124756523_down1kb;Atn1_ENSMUST00000129411_124756020_down1kb;Atn1_ENSMUST00000146872_124756053_down1kb
chr6_124762000_124763000	chr6	Eno2_ENSMUST00000128598_124763920_up1kb;Eno2_ENSMUST00000139763_124763285_up1kb;Eno2_ENSMUST00000146712_124763321_up1kb;Eno2_ENSMUST00000147307_124763611_up1kb
chr6_124763000_124764000	chr6	Eno2_ENSMUST00000128598_124763920_tss;Eno2_ENSMUST00000139763_124763285_tss;Eno2_ENSMUST00000146712_124763321_tss;Eno2_ENSMUST00000147307_124763611_tss
chr6_124764000_124765000	chr6	Eno2_ENSMUST00000128598_124763920_down1kb;Eno2_ENSMUST00000139763_124763285_down1kb;Eno2_ENSMUST00000146712_124763321_down1kb;Eno2_ENSMUST00000147307_124763611_down1kb
chr6_124767000_124768000	chr6	Eno2_ENSMUST00000125436_124768336_up1kb;Eno2_ENSMUST00000127274_124768330_up1kb;Eno2_ENSMUST00000128701_124768336_up1kb;Eno2_ENSMUST00000135626_124768375_up1kb;Eno2_ENSMUST00000138770_124768329_up1kb
chr6_124768000_124769000	chr6	Eno2_ENSMUST00000125436_124768336_tss;Eno2_ENSMUST00000127274_124768330_tss;Eno2_ENSMUST00000128701_124768336_tss;Eno2_ENSMUST00000135626_124768375_tss;Eno2_ENSMUST00000138770_124768329_tss;Eno2_ENSMUST00000004378_124769672_up1kb;Eno2_ENSMUST00000112476_124769620_up1kb;Eno2_ENSMUST00000147004_124769515_up1kb;Eno2_ENSMUST00000149652_124769549_up1kb;Eno2_ENSMUST00000151214_124769483_up1kb;Eno2_ENSMUST00000156033_124769485_up1kb
chr6_124769000_124770000	chr6	Eno2_ENSMUST00000004378_124769672_tss;Eno2_ENSMUST00000112476_124769620_tss;Eno2_ENSMUST00000147004_124769515_tss;Eno2_ENSMUST00000149652_124769549_tss;Eno2_ENSMUST00000151214_124769483_tss;Eno2_ENSMUST00000156033_124769485_tss;Eno2_ENSMUST00000125436_124768336_down1kb;Eno2_ENSMUST00000127274_124768330_down1kb;Eno2_ENSMUST00000128701_124768336_down1kb;Eno2_ENSMUST00000135626_124768375_down1kb;Eno2_ENSMUST00000138770_124768329_down1kb
chr6_124770000_124771000	chr6	Eno2_ENSMUST00000004378_124769672_down1kb;Eno2_ENSMUST00000112476_124769620_down1kb;Eno2_ENSMUST00000147004_124769515_down1kb;Eno2_ENSMUST00000149652_124769549_down1kb;Eno2_ENSMUST00000151214_124769483_down1kb;Eno2_ENSMUST00000156033_124769485_down1kb
chr6_124773000_124774000	chr6	Lrrc23_ENSMUST00000132492_124774609_up1kb
chr6_124774000_124775000	chr6	Lrrc23_ENSMUST00000132492_124774609_tss
chr6_124775000_124776000	chr6	Lrrc23_ENSMUST00000132492_124774609_down1kb
chr6_124778000_124779000	chr6	Lrrc23_ENSMUST00000032218_124779717_up1kb;Lrrc23_ENSMUST00000112475_124779726_up1kb;Lrrc23_ENSMUST00000128697_124779716_up1kb;Lrrc23_ENSMUST00000147669_124779703_up1kb
chr6_124779000_124780000	chr6	Lrrc23_ENSMUST00000032218_124779717_tss;Lrrc23_ENSMUST00000112475_124779726_tss;Lrrc23_ENSMUST00000128697_124779716_tss;Lrrc23_ENSMUST00000147669_124779703_tss
chr6_124780000_124781000	chr6	Lrrc23_ENSMUST00000032218_124779717_down1kb;Lrrc23_ENSMUST00000112475_124779726_down1kb;Lrrc23_ENSMUST00000128697_124779716_down1kb;Lrrc23_ENSMUST00000147669_124779703_down1kb
chr6_124807000_124808000	chr6	Spsb2_ENSMUST00000047760_124808660_up1kb;Spsb2_ENSMUST00000052727_124808905_up1kb;Spsb2_ENSMUST00000130160_124808918_up1kb;Spsb2_ENSMUST00000143040_124808884_up1kb
chr6_124808000_124809000	chr6	Spsb2_ENSMUST00000047760_124808660_tss;Spsb2_ENSMUST00000052727_124808905_tss;Spsb2_ENSMUST00000130160_124808918_tss;Spsb2_ENSMUST00000143040_124808884_tss;Spsb2_ENSMUST00000112473_124809297_up1kb
chr6_124809000_124810000	chr6	Spsb2_ENSMUST00000112473_124809297_tss;Spsb2_ENSMUST00000047760_124808660_down1kb;Spsb2_ENSMUST00000052727_124808905_down1kb;Spsb2_ENSMUST00000130160_124808918_down1kb;Spsb2_ENSMUST00000143040_124808884_down1kb
chr6_124810000_124811000	chr6	Tpi1_ENSMUST00000133251_124811885_up1kb;Spsb2_ENSMUST00000112473_124809297_down1kb
chr6_124811000_124812000	chr6	Tpi1_ENSMUST00000133251_124811885_tss;Tpi1_ENSMUST00000139716_124812839_up1kb
chr6_124812000_124813000	chr6	Tpi1_ENSMUST00000139716_124812839_tss;Tpi1_ENSMUST00000149610_124813069_up1kb;Tpi1_ENSMUST00000133251_124811885_down1kb
chr6_124813000_124814000	chr6	Tpi1_ENSMUST00000149610_124813069_tss;Tpi1_ENSMUST00000154883_124814157_up1kb;Tpi1_ENSMUST00000172132_124814295_up1kb;Tpi1_ENSMUST00000139716_124812839_down1kb
chr6_124814000_124815000	chr6	Tpi1_ENSMUST00000154883_124814157_tss;Tpi1_ENSMUST00000172132_124814295_tss;Tpi1_ENSMUST00000149610_124813069_down1kb
chr6_124815000_124816000	chr6	Tpi1_ENSMUST00000154883_124814157_down1kb;Tpi1_ENSMUST00000172132_124814295_down1kb
chr6_124816000_124817000	chr6	Usp5_ENSMUST00000154189_124817892_up1kb
chr6_124817000_124818000	chr6	Usp5_ENSMUST00000154189_124817892_tss;Usp5_ENSMUST00000131805_124818636_up1kb
chr6_124818000_124819000	chr6	Usp5_ENSMUST00000131805_124818636_tss;Usp5_ENSMUST00000154189_124817892_down1kb
chr6_124819000_124820000	chr6	Usp5_ENSMUST00000131805_124818636_down1kb
chr6_124822000_124823000	chr6	Usp5_ENSMUST00000129159_124823468_up1kb;Usp5_ENSMUST00000141042_124823622_up1kb
chr6_124823000_124824000	chr6	Usp5_ENSMUST00000129159_124823468_tss;Usp5_ENSMUST00000141042_124823622_tss;Usp5_ENSMUST00000146098_124824199_up1kb
chr6_124824000_124825000	chr6	Usp5_ENSMUST00000146098_124824199_tss;Usp5_ENSMUST00000129159_124823468_down1kb;Usp5_ENSMUST00000141042_124823622_down1kb
chr6_124825000_124826000	chr6	Usp5_ENSMUST00000146098_124824199_down1kb
chr6_124827000_124828000	chr6	Usp5_ENSMUST00000153306_124828894_up1kb
chr6_124828000_124829000	chr6	Usp5_ENSMUST00000153306_124828894_tss;Cdca3_ENSMUST00000024270_124829687_up1kb;Usp5_ENSMUST00000047510_124829483_up1kb;Usp5_ENSMUST00000122110_124829434_up1kb;Usp5_ENSMUST00000142058_124829407_up1kb;Cdca3_ENSMUST00000150120_124829546_up1kb
chr6_124829000_124830000	chr6	Cdca3_ENSMUST00000024270_124829687_tss;Usp5_ENSMUST00000047510_124829483_tss;Usp5_ENSMUST00000122110_124829434_tss;Usp5_ENSMUST00000142058_124829407_tss;Cdca3_ENSMUST00000150120_124829546_tss;Cdca3_ENSMUST00000131847_124830216_up1kb;Cdca3_ENSMUST00000134637_124830234_up1kb;Cdca3_ENSMUST00000136692_124830362_up1kb;Cdca3_ENSMUST00000151674_124830374_up1kb;Usp5_ENSMUST00000153306_124828894_down1kb
chr6_124830000_124831000	chr6	Cdca3_ENSMUST00000131847_124830216_tss;Cdca3_ENSMUST00000134637_124830234_tss;Cdca3_ENSMUST00000136692_124830362_tss;Cdca3_ENSMUST00000151674_124830374_tss;Cdca3_ENSMUST00000024270_124829687_down1kb;Usp5_ENSMUST00000047510_124829483_down1kb;Usp5_ENSMUST00000122110_124829434_down1kb;Usp5_ENSMUST00000142058_124829407_down1kb;Cdca3_ENSMUST00000150120_124829546_down1kb
chr6_124831000_124832000	chr6	Cdca3_ENSMUST00000131847_124830216_down1kb;Cdca3_ENSMUST00000134637_124830234_down1kb;Cdca3_ENSMUST00000136692_124830362_down1kb;Cdca3_ENSMUST00000151674_124830374_down1kb
chr6_124835000_124836000	chr6	Gnb3_ENSMUST00000140233_124836296_up1kb
chr6_124836000_124837000	chr6	Gnb3_ENSMUST00000140233_124836296_tss
chr6_124837000_124838000	chr6	Gnb3_ENSMUST00000140233_124836296_down1kb
chr6_124838000_124839000	chr6	Gnb3_ENSMUST00000129251_124839956_up1kb
chr6_124839000_124840000	chr6	Gnb3_ENSMUST00000129251_124839956_tss;Gnb3_ENSMUST00000024206_124840274_up1kb;Gnb3_ENSMUST00000135996_124840082_up1kb
chr6_124840000_124841000	chr6	Gnb3_ENSMUST00000024206_124840274_tss;Gnb3_ENSMUST00000135996_124840082_tss;Gnb3_ENSMUST00000129251_124839956_down1kb
chr6_124841000_124842000	chr6	Leprel2_ENSMUST00000126987_124842610_up1kb;Gnb3_ENSMUST00000024206_124840274_down1kb;Gnb3_ENSMUST00000135996_124840082_down1kb
chr6_124842000_124843000	chr6	Leprel2_ENSMUST00000126987_124842610_tss
chr6_124843000_124844000	chr6	Leprel2_ENSMUST00000126987_124842610_down1kb
chr6_124849000_124850000	chr6	Leprel2_ENSMUST00000147296_124850992_up1kb
chr6_124850000_124851000	chr6	Leprel2_ENSMUST00000147296_124850992_tss
chr6_124851000_124852000	chr6	Leprel2_ENSMUST00000147296_124850992_down1kb
chr6_124853000_124854000	chr6	Leprel2_ENSMUST00000129225_124854826_up1kb;Leprel2_ENSMUST00000149870_124854923_up1kb
chr6_124854000_124855000	chr6	Leprel2_ENSMUST00000129225_124854826_tss;Leprel2_ENSMUST00000149870_124854923_tss;Leprel2_ENSMUST00000135546_124855169_up1kb
chr6_124855000_124856000	chr6	Leprel2_ENSMUST00000135546_124855169_tss;Leprel2_ENSMUST00000129225_124854826_down1kb;Leprel2_ENSMUST00000149870_124854923_down1kb
chr6_124856000_124857000	chr6	Leprel2_ENSMUST00000023958_124857751_up1kb;Leprel2_ENSMUST00000135127_124857728_up1kb;Leprel2_ENSMUST00000135546_124855169_down1kb
chr6_124857000_124858000	chr6	Leprel2_ENSMUST00000023958_124857751_tss;Leprel2_ENSMUST00000135127_124857728_tss
chr6_124858000_124859000	chr6	Leprel2_ENSMUST00000023958_124857751_down1kb;Leprel2_ENSMUST00000135127_124857728_down1kb
chr6_124862000_124863000	chr6	Gpr162_ENSMUST00000046893_124863916_up1kb
chr6_124863000_124864000	chr6	Gpr162_ENSMUST00000046893_124863916_tss
chr6_124864000_124865000	chr6	Gpr162_ENSMUST00000046893_124863916_down1kb
chr6_124869000_124870000	chr6	Cd4_ENSMUST00000145818_124870488_up1kb;Cd4_ENSMUST00000145977_124870271_up1kb
chr6_124870000_124871000	chr6	Cd4_ENSMUST00000145818_124870488_tss;Cd4_ENSMUST00000145977_124870271_tss
chr6_124871000_124872000	chr6	Cd4_ENSMUST00000145818_124870488_down1kb;Cd4_ENSMUST00000145977_124870271_down1kb
chr6_124887000_124888000	chr6	Cd4_ENSMUST00000024044_124888220_up1kb;Cd4_ENSMUST00000130378_124888199_up1kb;Cd4_ENSMUST00000151594_124888198_up1kb
chr6_124888000_124889000	chr6	Cd4_ENSMUST00000024044_124888220_tss;Cd4_ENSMUST00000130378_124888199_tss;Cd4_ENSMUST00000151594_124888198_tss
chr6_124889000_124890000	chr6	Cd4_ENSMUST00000024044_124888220_down1kb;Cd4_ENSMUST00000130378_124888199_down1kb;Cd4_ENSMUST00000151594_124888198_down1kb
chr6_124909000_124910000	chr6	Lag3_ENSMUST00000139571_124910050_up1kb
chr6_124910000_124911000	chr6	Lag3_ENSMUST00000139571_124910050_tss;Lag3_ENSMUST00000032217_124911704_up1kb
chr6_124911000_124912000	chr6	Lag3_ENSMUST00000032217_124911704_tss;Lag3_ENSMUST00000139571_124910050_down1kb
chr6_124912000_124913000	chr6	Lag3_ENSMUST00000032217_124911704_down1kb
chr6_124914000_124915000	chr6	Ptms_ENSMUST00000134916_124915528_up1kb;Ptms_ENSMUST00000181150_124915223_up1kb
chr6_124915000_124916000	chr6	Ptms_ENSMUST00000134916_124915528_tss;Ptms_ENSMUST00000181150_124915223_tss;A230083G16Rik_ENSMUST00000069553_124916862_up1kb
chr6_124916000_124917000	chr6	A230083G16Rik_ENSMUST00000069553_124916862_tss;Ptms_ENSMUST00000032216_124917945_up1kb;Ptms_ENSMUST00000134916_124915528_down1kb;Ptms_ENSMUST00000181150_124915223_down1kb
chr6_124917000_124918000	chr6	Ptms_ENSMUST00000032216_124917945_tss;A230083G16Rik_ENSMUST00000069553_124916862_down1kb
chr6_124918000_124919000	chr6	Ptms_ENSMUST00000032216_124917945_down1kb
chr6_124930000_124931000	chr6	Mlf2_ENSMUST00000032214_124931387_up1kb;Mlf2_ENSMUST00000180095_124931387_up1kb
chr6_124931000_124932000	chr6	Mlf2_ENSMUST00000032214_124931387_tss;Mlf2_ENSMUST00000180095_124931387_tss
chr6_124932000_124933000	chr6	Mlf2_ENSMUST00000032214_124931387_down1kb;Mlf2_ENSMUST00000180095_124931387_down1kb
chr6_124959000_124960000	chr6	Cops7a_ENSMUST00000135645_124960140_up1kb
chr6_124960000_124961000	chr6	Cops7a_ENSMUST00000135645_124960140_tss
chr6_124961000_124962000	chr6	Cops7a_ENSMUST00000135645_124960140_down1kb
chr6_124963000_124964000	chr6	Gm23851_ENSMUST00000083831_124964284_up1kb
chr6_124964000_124965000	chr6	Gm23851_ENSMUST00000083831_124964284_tss;Cops7a_ENSMUST00000032220_124965447_up1kb;Cops7a_ENSMUST00000112439_124965537_up1kb;Cops7a_ENSMUST00000129446_124965407_up1kb;Cops7a_ENSMUST00000129976_124965289_up1kb;Cops7a_ENSMUST00000148485_124965206_up1kb;Cops7a_ENSMUST00000149346_124965511_up1kb
chr6_124965000_124966000	chr6	Cops7a_ENSMUST00000032220_124965447_tss;Cops7a_ENSMUST00000112439_124965537_tss;Cops7a_ENSMUST00000129446_124965407_tss;Cops7a_ENSMUST00000129976_124965289_tss;Cops7a_ENSMUST00000148485_124965206_tss;Cops7a_ENSMUST00000149346_124965511_tss;Gm23851_ENSMUST00000083831_124964284_down1kb
chr6_124966000_124967000	chr6	Cops7a_ENSMUST00000032220_124965447_down1kb;Cops7a_ENSMUST00000112439_124965537_down1kb;Cops7a_ENSMUST00000129446_124965407_down1kb;Cops7a_ENSMUST00000129976_124965289_down1kb;Cops7a_ENSMUST00000148485_124965206_down1kb;Cops7a_ENSMUST00000149346_124965511_down1kb
chr6_124995000_124996000	chr6	Pianp_ENSMUST00000032479_124996693_up1kb
chr6_124996000_124997000	chr6	Pianp_ENSMUST00000032479_124996693_tss;Pianp_ENSMUST00000159391_124997074_up1kb
chr6_124997000_124998000	chr6	Pianp_ENSMUST00000159391_124997074_tss;Pianp_ENSMUST00000160704_124998609_up1kb;Pianp_ENSMUST00000161292_124998638_up1kb;Pianp_ENSMUST00000162170_124998436_up1kb;Pianp_ENSMUST00000032479_124996693_down1kb
chr6_124998000_124999000	chr6	Pianp_ENSMUST00000160704_124998609_tss;Pianp_ENSMUST00000161292_124998638_tss;Pianp_ENSMUST00000162170_124998436_tss;Pianp_ENSMUST00000160666_124999661_up1kb;Pianp_ENSMUST00000162000_124999495_up1kb;Pianp_ENSMUST00000159391_124997074_down1kb
chr6_124999000_125000000	chr6	Pianp_ENSMUST00000160666_124999661_tss;Pianp_ENSMUST00000162000_124999495_tss;Pianp_ENSMUST00000160704_124998609_down1kb;Pianp_ENSMUST00000161292_124998638_down1kb;Pianp_ENSMUST00000162170_124998436_down1kb
chr6_125000000_125001000	chr6	Pianp_ENSMUST00000160666_124999661_down1kb;Pianp_ENSMUST00000162000_124999495_down1kb
chr6_125008000_125009000	chr6	Zfp384_ENSMUST00000046064_125009668_up1kb;Zfp384_ENSMUST00000054553_125009178_up1kb;Zfp384_ENSMUST00000084275_125009804_up1kb;Zfp384_ENSMUST00000088308_125009734_up1kb;Zfp384_ENSMUST00000112425_125009735_up1kb;Zfp384_ENSMUST00000112427_125009282_up1kb;Zfp384_ENSMUST00000112428_125009237_up1kb;Zfp384_ENSMUST00000131555_125009712_up1kb;Zfp384_ENSMUST00000132863_125009144_up1kb;Zfp384_ENSMUST00000140835_125009744_up1kb;Zfp384_ENSMUST00000144308_125009275_up1kb;Zfp384_ENSMUST00000145138_125009226_up1kb;Zfp384_ENSMUST00000152752_125009714_up1kb
chr6_125009000_125010000	chr6	Zfp384_ENSMUST00000046064_125009668_tss;Zfp384_ENSMUST00000054553_125009178_tss;Zfp384_ENSMUST00000084275_125009804_tss;Zfp384_ENSMUST00000088308_125009734_tss;Zfp384_ENSMUST00000112425_125009735_tss;Zfp384_ENSMUST00000112427_125009282_tss;Zfp384_ENSMUST00000112428_125009237_tss;Zfp384_ENSMUST00000131555_125009712_tss;Zfp384_ENSMUST00000132863_125009144_tss;Zfp384_ENSMUST00000140835_125009744_tss;Zfp384_ENSMUST00000144308_125009275_tss;Zfp384_ENSMUST00000145138_125009226_tss;Zfp384_ENSMUST00000152752_125009714_tss;Zfp384_ENSMUST00000112424_125010391_up1kb
chr6_125010000_125011000	chr6	Zfp384_ENSMUST00000112424_125010391_tss;Zfp384_ENSMUST00000046064_125009668_down1kb;Zfp384_ENSMUST00000054553_125009178_down1kb;Zfp384_ENSMUST00000084275_125009804_down1kb;Zfp384_ENSMUST00000088308_125009734_down1kb;Zfp384_ENSMUST00000112425_125009735_down1kb;Zfp384_ENSMUST00000112427_125009282_down1kb;Zfp384_ENSMUST00000112428_125009237_down1kb;Zfp384_ENSMUST00000131555_125009712_down1kb;Zfp384_ENSMUST00000132863_125009144_down1kb;Zfp384_ENSMUST00000140835_125009744_down1kb;Zfp384_ENSMUST00000144308_125009275_down1kb;Zfp384_ENSMUST00000145138_125009226_down1kb;Zfp384_ENSMUST00000152752_125009714_down1kb
chr6_125011000_125012000	chr6	Zfp384_ENSMUST00000112424_125010391_down1kb
chr6_125023000_125024000	chr6	Zfp384_ENSMUST00000145566_125024786_up1kb
chr6_125024000_125025000	chr6	Zfp384_ENSMUST00000145566_125024786_tss
chr6_125025000_125026000	chr6	Zfp384_ENSMUST00000145566_125024786_down1kb
chr6_125029000_125030000	chr6	Zfp384_ENSMUST00000137325_125030403_up1kb
chr6_125030000_125031000	chr6	Zfp384_ENSMUST00000137325_125030403_tss
chr6_125031000_125032000	chr6	Zfp384_ENSMUST00000137325_125030403_down1kb
chr6_125038000_125039000	chr6	Ing4_ENSMUST00000032480_125039835_up1kb;Ing4_ENSMUST00000112417_125039860_up1kb;Ing4_ENSMUST00000128277_125039835_up1kb;Ing4_ENSMUST00000140131_125039759_up1kb;Ing4_ENSMUST00000140883_125039844_up1kb;Ing4_ENSMUST00000151125_125039860_up1kb;Ing4_ENSMUST00000152574_125039847_up1kb
chr6_125039000_125040000	chr6	Ing4_ENSMUST00000032480_125039835_tss;Ing4_ENSMUST00000112417_125039860_tss;Ing4_ENSMUST00000128277_125039835_tss;Ing4_ENSMUST00000140131_125039759_tss;Ing4_ENSMUST00000140883_125039844_tss;Ing4_ENSMUST00000151125_125039860_tss;Ing4_ENSMUST00000152574_125039847_tss
chr6_125040000_125041000	chr6	Ing4_ENSMUST00000032480_125039835_down1kb;Ing4_ENSMUST00000112417_125039860_down1kb;Ing4_ENSMUST00000128277_125039835_down1kb;Ing4_ENSMUST00000140131_125039759_down1kb;Ing4_ENSMUST00000140883_125039844_down1kb;Ing4_ENSMUST00000151125_125039860_down1kb;Ing4_ENSMUST00000152574_125039847_down1kb
chr6_125042000_125043000	chr6	Ing4_ENSMUST00000156091_125043953_up1kb
chr6_125043000_125044000	chr6	Ing4_ENSMUST00000156091_125043953_tss
chr6_125044000_125045000	chr6	Ing4_ENSMUST00000133695_125045521_up1kb;Ing4_ENSMUST00000156091_125043953_down1kb
chr6_125045000_125046000	chr6	Ing4_ENSMUST00000133695_125045521_tss
chr6_125046000_125047000	chr6	Ing4_ENSMUST00000146229_125047639_up1kb;Ing4_ENSMUST00000133695_125045521_down1kb
chr6_125047000_125048000	chr6	Ing4_ENSMUST00000146229_125047639_tss
chr6_125048000_125049000	chr6	Acrbp_ENSMUST00000032481_125049966_up1kb;Acrbp_ENSMUST00000088294_125049958_up1kb;Acrbp_ENSMUST00000112413_125049946_up1kb;Acrbp_ENSMUST00000112414_125049688_up1kb;Ing4_ENSMUST00000146229_125047639_down1kb
chr6_125049000_125050000	chr6	Acrbp_ENSMUST00000032481_125049966_tss;Acrbp_ENSMUST00000088294_125049958_tss;Acrbp_ENSMUST00000112413_125049946_tss;Acrbp_ENSMUST00000112414_125049688_tss
chr6_125050000_125051000	chr6	Acrbp_ENSMUST00000112412_125051853_up1kb;Acrbp_ENSMUST00000032481_125049966_down1kb;Acrbp_ENSMUST00000088294_125049958_down1kb;Acrbp_ENSMUST00000112413_125049946_down1kb;Acrbp_ENSMUST00000112414_125049688_down1kb
chr6_125051000_125052000	chr6	Acrbp_ENSMUST00000112412_125051853_tss
chr6_125052000_125053000	chr6	Acrbp_ENSMUST00000124159_125053801_up1kb;Acrbp_ENSMUST00000112412_125051853_down1kb
chr6_125053000_125054000	chr6	Acrbp_ENSMUST00000124159_125053801_tss
chr6_125054000_125055000	chr6	Acrbp_ENSMUST00000124159_125053801_down1kb
chr6_125061000_125062000	chr6	Acrbp_ENSMUST00000136100_125062188_up1kb
chr6_125062000_125063000	chr6	Acrbp_ENSMUST00000136100_125062188_tss
chr6_125063000_125064000	chr6	Acrbp_ENSMUST00000136100_125062188_down1kb
